 ,Area
1,17.597
2,17.794
3,20.849
4,18.001
5,2.928
6,10.439
7,17.301
8,15.562
9,16.893
10,23.280
11,21.861
12,23.167
13,47.145
14,23.675
15,23.228
16,23.546
