 ,Area
1,34.388
2,174.668
3,32.914
4,29.785
5,42.050
6,38.343
7,40.467
8,42.154
9,28.601
10,127.812
11,45.551
12,31.812
13,41.575
14,47.525
15,45.797
16,15.668
17,87.804
18,45.701
19,44.624
20,28.483
21,16.741
22,31.909
23,26.898
24,28.179
25,29.214
26,29.198
27,44.601
28,27.451
29,19.058
30,17.810
31,22.371
