 ,Area
1,33.265
2,36.613
3,22.959
4,30.763
5,37.145
6,19.934
7,15.171
8,2.906
9,54.320
10,21.925
11,33.038
12,28.255
13,26.285
14,33.286
15,27.913
16,21.594
