 ,Area
1,26.564
2,27.118
3,25.966
4,29.785
5,27.094
6,26.560
7,18.103
8,18.333
9,45.069
10,14.134
11,42.016
12,23.166
13,48.264
14,1.412
15,2.131
16,3.697
17,27.000
18,26.109
