 ,Area
1,29.588
2,55.436
3,31.566
4,1.079
5,37.701
6,143.485
7,27.877
8,35.647
9,89.492
10,33.299
11,30.804
12,27.846
13,24.273
14,30.918
15,31.267
16,20.148
17,24.301
18,152.582
19,20.824
20,1.001
21,22.027
22,34.840
23,34.426
24,25.468
25,15.453
26,63.633
27,32.875
28,107.825
29,32.324
30,21.441
31,35.514
32,27.846
33,28.724
34,28.477
35,53.591
36,22.250
37,23.565
38,1.656
39,3.319
40,67.094
41,23.564
42,35.267
43,28.214
44,25.059
45,29.788
46,34.622
47,28.307
48,27.561
